	fc	p
MRPS22	2.238271447	0.32
COPB2	2.763582885	0.91
RP11-319G6.1	-0.309609825	0.88
RP11-319G6.3	-6.64385619	0.04
ACTG1P1	-1.192580963	0.84
RBP1	-0.671129851	0.89
NMNAT3	0.81417764	0.41
RN7SKP124	-2.419417491	0.49
RN7SL724P	-1.135215136	0.77
CLSTN2	-0.704859677	0.99
SLC25A36	3.563218591	0.1
RP11-231L11.3	0.308205382	0.98
SPSB4	-0.264075796	0.49
PXYLP1	0.327871748	0.67
RP11-764I5.1	-0.563474572	0.83
ZBTB38	3.542855853	0.01
RASA2	1.002405165	0.26
RASA2-IT1	-1.709559834	0.95
RNF7	2.086433811	0.07
ATP1B3	2.009353997	0.59
RP11-271K21.12	-3.726530104	0.5
TFDP2	2.441286376	0.83
RP11-343B5.1	-0.428135231	0.15
GK5	0.6121308	0.69
XRN1	2.635420852	0.45
RNU1-100P	0.146623978	0.34
ATR	1.374682384	0.42
RP11-383G6.3	-0.641737751	0.51
PLS1	-1.460786288	0.82
TRPC1	2.182720153	0.75
RNU7-47P	-0.024554857	0.83
PCOLCE2	3.392186227	0.28
RP11-372E1.1	-1.039282609	0.15
PAQR9	0.528797277	0.49
PAQR9-AS1	-2.642795003	0.92
U2SURP	2.658962476	0.92
RP11-91G21.1	0.118315458	0.77
CHST2	-1.127536968	0.67
SLC9A9	-0.257233159	0.82
RP13-635I23.3	-2.767967348	0.91
GAPDHP47	-6.64385619	0.45
ST13P15	-2.526943275	0.03
C3orf58	1.547881047	0.99
RP11-274H2.5	-1.613573855	0.38
RP11-274H2.3	-0.723376856	0.55
PLOD2	1.474928916	0.51
PLSCR4	1.206654568	0.86
PLSCR2	-6.64385619	0.77
RP11-329N15.3	-0.848251064	0.63
PLSCR1	1.801341819	0.98
RP11-71N10.1	-6.64385619	0.57
AGTR1	-1.352403074	0.14
CPA3	-0.823632205	0.72
UBQLN4P1	-3.698993968	0.19
GYG1	3.577226499	0.15
HLTF	2.842198305	0.78
HPS3	0.258492479	0.65
CP	-2.812883906	0.42
TM4SF18	0.046925566	0.27
TM4SF1	2.790446104	0.13
WWTR1	2.74128363	0.1
WWTR1-IT1	0.691829615	0.2
WWTR1-AS1	-6.64385619	0.82
COMMD2	1.276707971	0.34
RNF13	2.553136656	0.04
NPM1P29	-3.554097993	0.03
PFN2	2.946648512	0.76
RP11-651P23.2	-6.64385619	0.59
RPL32P9	-6.64385619	0.18
TSC22D2	1.967659275	0.74
SERP1	1.575804363	0
EIF2A	3.272616459	0.94
SELENOT	2.607492847	0.12
ERICH6	-6.64385619	0.73
ERICH6-AS1	-1.159301527	0.08
SIAH2	2.292062711	0.49
SIAH2-AS1	-6.64385619	0.33
MED12L	-1.063242101	0.67
GPR171	-2.791374718	0.68
P2RY14	0.986832502	0.17
SETP11	-2.435337087	0.49
P2RY13	-2.437313348	0.37
P2RY12	-3.738701256	0.04
IGSF10	0.090439793	0.89
MRPL42P6	-6.64385619	0.1
RP11-454C18.1	-2.19728778	0.33
AADACP1	-3.837040557	0.99
AADAC	-4.436860716	0.25
SUCNR1	-6.64385619	0.28
MBNL1	4.403000606	0
MBNL1-AS1	0.785214294	0.78
Y_RNA	1.905922585	0.88
P2RY1	0.415174587	0.92
RAP2B	-0.507226675	0.94
RP11-292E2.1	-6.64385619	0.57
RP11-23D24.2	-6.64385619	0.55
ARHGEF26-AS1	-5.705062109	0.26
ARHGEF26	-0.443290852	0.21
DHX36	2.041652602	0.44
MME	-0.053947042	0.08
RP11-451G4.2	-0.512292505	0.26
PLCH1	-3.066779565	0.4
C3orf33	0.863498434	0.23
SLC33A1	1.778988249	0.88
GMPS	1.540794936	0.45
SETP14	-2.754173438	0.71
KCNAB1	-0.615321502	0.93
RP11-305K5.1	1.455040755	0.64
SSR3	4.86106035	0.12
TIPARP-AS1	-2.695825891	0.79
TIPARP	3.514015838	0.04
METTL15P1	-6.64385619	0.31
LINC00886	-0.830058993	0.43
PA2G4P4	0.113591424	0.39
LEKR1	-3.220345878	0.83
LINC00880	-4.647548407	0.9
LINC00881	4.827510667	0.4
CCNL1	2.285684491	0.3
RP11-555M1.3	-6.64385619	0.33
RP11-550I24.2	-2.28362472	0.21
VEPH1	-5.137393647	0.1
PTX3	-2.895402007	0.69
PQLC2L	-3.901449629	0.87
SHOX2	-5.509036978	0.89
RSRC1	1.139531405	0.98
RP11-538P18.1	-1.587966398	0.9
RP11-538P18.2	-3.623296931	0.85
MLF1	4.122844469	0.53
GFM1	2.649806697	0.77
LXN	-1.147936338	0.97
RP11-379F4.7	-6.64385619	0.85
RP11-379F4.6	-1.782785297	0.66
RARRES1	-3.458804939	0.84
MFSD1	1.499862703	0.26
RP11-379F4.4	-1.674247501	0.49
RP11-379F4.1	-2.345259575	0.91
RP11-379F4.8	-1.629721443	0.49
RP11-170K4.2	-0.65025146	0.46
IQCJ	-2.208160052	0.37
RP11-564C24.1	-3.667177706	0.92
SCHIP1	1.937226225	0.51
IL12A	-2.415406843	0.37
BRD7P2	-2.898152263	0.41
C3orf80	-4.903865987	0.04
IFT80	-0.046009512	0.89
SMC4	1.725080988	0.66
TRIM59	-4.619371819	0.58
KPNA4	3.918755069	0.57
SCARNA7	7.731031757	0.8
KRT8P12	0.099054246	0.22
RP11-16N11.2	-0.803695558	0.38
PPM1L	2.141203921	0.77
B3GALNT1	3.993999612	0.67
NMD3	2.829903713	0.19
SPTSSB	-6.64385619	0.42
RP11-3P17.4	-5.00199031	0.65
RPL23AP42	-2.856246239	0.85
BCHE	-0.484507042	0.76
ZBBX	-3.820942644	0.28
SERPINI2	-2.471898622	0.36
WDR49	-1.869853109	0.76
PDCD10	2.217996703	1
HMGN1P8	1.33565669	0.06
SERPINI1	1.189427614	0.07
LINC01330	-0.460386621	0.41
MEMO1P3	-1.287850441	0.78
GOLIM4	4.509874191	0.15
EGFEM1P	-4.799655271	0.59
MECOM	1.368277368	0.95
RP11-641D5.1	-0.740284524	0.3
RP11-3K16.2	0.621921706	0.31
TERC	-6.64385619	0.97
ACTRT3	-2.939355493	0.96
RP11-816J6.3	-2.153859849	0.25
MYNN	1.585135843	0.65
RP11-362K14.5	-2.792122584	0.46
LRRC34	-1.531952729	0.22
RP11-362K14.7	-1.912394905	0
RP11-362K14.6	-0.888732918	0.68
LRRC31	-6.64385619	0.09
RP11-379K17.4	-6.64385619	0.61
SEC62	2.770010926	0.52
GPR160	-2.654065004	0.83
PHC3	2.708372015	0.09
RP11-379K17.12	-3.684965455	0.11
PRKCI	1.279213234	0.86
SKIL	2.933370797	0.02
RP11-469J4.3	-6.64385619	0.93
CLDN11	-1.321609086	0.32
RPL22L1	0.203273609	0.87
EIF5A2	-0.28797359	0.85
TNIK	3.081039086	0.44
MIR569	0.922523309	0.58
RP11-185E8.2	-2.119905009	0.72
PLD1	2.903860356	0.14
FNDC3B	3.653221869	0.73
RN7SL141P	1.036584328	0.04
TNFSF10	1.550177212	0.02
RP11-408H1.3	-4.074378855	0.3
NCEH1	3.167077018	0.71
ECT2	-0.403390445	0.26
NLGN1	1.389577998	0.68
RP11-521A24.1	-0.65025146	0.67
RN7SKP234	0.922523309	0.49
NAALADL2	-0.37054036	0.13
RN7SKP40	-1.947235045	0.18
RP11-809F4.3	-6.64385619	0.65
ACTG1P23	-6.64385619	0.42
MTND5P15	-1.491057216	0.58
TBL1XR1	3.527675118	0.29
TBL1XR1-AS1	-6.64385619	0.31
Y_RNA	1.46071115	0.68
RNU6-681P	-0.760891498	0.94
LINC00501	-0.886846678	0.19
LINC00578	-6.64385619	0.47
KCCAT211	-6.64385619	0.22
RP11-33A14.1	-2.009336157	0.86
KCNMB2	-1.659229446	0.21
KCNMB2-AS1	-6.64385619	0.64
ZMAT3	1.532794252	0.97
PIK3CA	2.50520536	0.36
KCNMB3	-2.33538035	0.64
LRRFIP1P1	-1.710803032	0.74
ZNF639	1.424421751	0.51
RP11-255C15.3	-1.339080322	0.67
MFN1	3.305240094	0.36
GNB4	1.66268294	0.32
AC007620.3	-0.289511333	0.91
RP11-145M9.5	-0.217977053	0.73
ACTL6A	1.154673492	0.81
RP11-15L13.4	-0.038877418	0.71
MRPL47	3.5782889	0.11
NDUFB5	3.934633888	0.56
USP13	4.710043667	0.81
PEX5L	-5.174866808	0.35
RP11-496B10.3	-3.093391099	0.1
TTC14	1.94091073	0.29
CCDC39	-3.061674985	0.03
RP11-259P15.4	-3.138255663	0.79
FXR1	2.876318441	0.58
DNAJC19	2.040979273	0.34
SOX2-OT	-4.626399092	0.19
SOX2	-4.877955397	0.79
ATP11B	2.938572845	0.27
DCUN1D1	1.321235563	0.99
RP11-531F16.3	0.301270716	0.18
MCCC1	2.657014987	0.14
LAMP3	-6.64385619	0.45
MCF2L2	-3.486793765	1
B3GNT5	-1.572917335	0.89
LINC00888	1.322787354	0.71
SNORA63	2.332795792	0.38
SNORA81	-6.64385619	0.63
KLHL6	-2.604129609	0.65
KLHL24	4.539633339	0.6
YEATS2	1.217839625	0.87
YEATS2-AS1	-3.935998387	0
MAP6D1	-1.807878212	0.24
PARL	2.527205469	1
ABCC5	3.236206361	0.94
EEF1A1P8	-3.366821548	0.25
RP11-778D9.12	-2.588097642	0.35
EIF2B5	1.984321969	0.88
RP11-778D9.4	-6.64385619	0.52
DVL3	2.532512945	0.22
AP2M1	4.02217501	0.19
ABCF3	2.302900714	0.63
ALG3	-0.365196435	0.5
ECE2	-3.93786449	0.58
PSMD2	3.593365449	0.95
EIF4G1	4.263990383	0.12
SNORD66	-0.31497624	0.97
FAM131A	0.703787718	0.17
CLCN2	-1.955886318	0.09
POLR2H	0.795776281	0.07
THPO	-3.775728957	0.43
CHRD	-1.131064825	0.88
EIF2B5-IT1	-6.64385619	0.24
EPHB3	-1.85592064	0.31
MAGEF1	2.451028863	0.42
RP11-329B9.4	-3.379799948	0.14
RP11-329B9.3	-3.003434046	0.36
VPS8	3.702487765	0.94
C3orf70	-0.442366706	0.8
EHHADH	1.854866961	0.27
EIF2S2P2	-2.911812929	0.81
MAP3K13	-0.588977806	0.99
RPL4P4	-3.265653989	0.05
TMEM41A	0.159268451	0.25
LIPH	-2.547873446	0.81
SENP2	1.639450731	0.79
RP11-537I16.2	1.281798325	0.93
IGF2BP2	0.873510383	0.48
TRA2B	2.407533854	0.76
NMRAL2P	-4.923226535	0.68
ETV5	-0.096204622	0.32
Metazoa_SRP	-6.64385619	0.96
DGKG	2.596926365	0.84
CRYGS	-0.330291651	0.63
TBCCD1	0.996058951	0.19
DNAJB11	0.778605045	0.8
RP11-134F2.7	0.433759055	0.42
KNG1	-6.64385619	0.58
RP11-573D15.9	-6.64385619	0.96
EIF4A2	5.113471044	0.45
RFC4	-0.191576369	0.19
ADIPOQ	-4.00424845	0.07
RPS20P14	-0.555599579	0.7
ST6GAL1	2.556913424	0.72
RPL39L	-0.309609825	0.51
MASP1	3.042430514	0.34
RP11-208N14.5	0.069988961	0.26
RTP4	-0.496456413	0.68
BCL6	1.23701303	0.83
RP11-211G3.2	-3.99448832	0.63
LPP-AS2	0.983606675	0.37
LPP	3.758073754	0.74
FLJ42393	0.861838334	0.99
TPRG1-AS1	-1.175241053	0.92
TPRG1	-2.807127804	0.46
TP63	-2.410650937	0.88
P3H2	-0.015158802	0.22
MTAPP2	-6.64385619	0
CLDN1	-5.239437416	0.3
IL1RAP	-0.207406022	0.69
GCNT1P3	-1.218556126	0.03
RN7SKP296	-0.478493969	0.14
RP11-332P22.2	-3.186950462	1
GMNC	-2.868966747	0.8
OSTN	-6.64385619	0.53
UTS2B	-4.596241997	0.06
CCDC50	2.785427658	0.46
RP11-197K6.1	-6.64385619	0.01
FGF12	5.280511267	0.93
snoU13	0.80768024	0.55
MB21D2	0.564555403	0.93
HRASLS	0.819493486	0.52
ATP13A5-AS1	-6.64385619	0.56
ATP13A4	-3.639586463	0.78
RP11-175P19.2	-2.280064311	0.66
OPA1	4.336778133	0.33
Y_RNA	1.422034844	0.36
RP11-699L21.1	-4.802332419	0.52
RP11-407B7.1	-2.161385529	0.81
HES1	1.690898259	0.74
CPN2	-1.291573788	0.85
LRRC15	-2.622751563	0.45
GP5	-4.501616015	0.39
ATP13A3	4.385499712	0.94
LINC00884	-1.955804964	0.58
AC108676.1	-6.64385619	0.39
TMEM44-AS1	0.382965972	0.61
TMEM44	-1.206557108	0.34
AC046143.3	-3.79442354	0.15
LSG1	1.819193456	0.21
FAM43A	-0.143872108	0.77
AC090505.6	-5.355176176	0.65
XXYLT1	-1.280841854	0.97
ACAP2	1.714367475	0.9
ACAP2-IT1	-0.327418855	0.28
Y_RNA	-0.853223112	0.24
PPP1R2	2.518606319	0.62
RNU6ATAC24P	0.846123903	0.3
APOD	5.482780198	0.45
MUC20P1	-0.688451789	0.14
LINC00969	1.842238453	0.95
MIR570	3.403805452	0.37
MUC20	-1.197649456	0.37
MUC4	-5.996910819	0.01
TNK2	-0.704871723	0.84
RP11-480A16.1	-2.458078193	0.32
SDHAP1	1.418515509	0.4
TFRC	3.568899503	0.95
PCYT1A	3.674454938	0.67
TCTEX1D2	-1.518894258	0.09
TM4SF19-AS1	-4.708543338	0.16
TM4SF19	-6.64385619	0.11
UBXN7	2.04047978	0.33
RN7SL434P	-2.103869163	0.98
RNF168	2.080686805	0.23
SMCO1	3.397710644	0.04
WDR53	0.399895261	0.56
FBXO45	0.499112307	0.29
NRROS	-2.346672003	0.95
PIGX	0.000914373	0.61
CEP19	-1.560884192	0.15
PAK2	3.189444918	0.92
RNU6-42P	-6.64385619	0.97
SENP5	2.243515288	0.16
AC127904.2	-0.284052303	0.07
NCBP2	1.947129645	0.93
NCBP2-AS2	1.536953279	0.82
PIGZ	-0.13304468	0.07
MELTF	-1.133870827	0.79
MELTF-AS1	-1.609004481	0.49
DLG1	2.736075499	0.27
RP13-616I3.1	-1.218556126	0.62
BDH1	1.728279866	0.19
AC024560.3	2.670672931	0.23
AC132008.1	-0.637399306	0.02
RUBCN	1.320056682	0.85
FYTTD1	3.094772316	0.22
RP11-803P9.1	-0.64306316	0.1
LRCH3	1.918826396	0.26
AC144530.1	-3.074494694	0.35
IQCG	-0.221606499	0.57
RPL35A	4.552036485	0.84
LMLN	0.259375386	0.66
FAM157A	-5.755669223	0.77
ZNF595	1.31912088	0.98
ZNF718	0.050445524	0.6
CH17-262A2.1	-0.079764182	0.58
ZNF876P	-0.272913946	0.54
ZNF732	-3.058319676	0.45
RP11-478C6.1	-6.64385619	0.59
ZNF141	1.674751562	0.31
MIR571	0.922523309	0.88
RP11-2H3.6	-1.749992885	0.2
ABCA11P	-0.192646698	0.94
ZNF721	1.850943545	0.74
PIGG	0.479680785	0.02
PDE6B	-2.714516108	0.42
RP11-1191J2.5	-3.44435843	0.36
ATP5I	6.089795539	0.77
MYL5	-1.716383311	0.06
MFSD7	-0.623855006	0.5
PCGF3	1.129415281	0.54
RP11-440L14.4	-1.219046168	0.35
RP11-440L14.1	1.254013558	0.45
AC139887.4	-1.211184494	0.64
CPLX1	-2.646461086	0.5
GAK	-0.187902054	0.26
TMEM175	0.369916547	0.55
DGKQ	-0.814969783	0.9
IDUA	-1.753482524	0.91
FGFRL1	1.457586639	0.3
RNF212	-4.10189532	0.33
RP11-20I20.2	-2.033241403	0.22
AC092535.3	-3.04131611	1
SPON2	-0.938631479	0.85
CTBP1	1.732131427	0.49
CTBP1-AS2	0.083085917	0.43
MAEA	0.617395674	0.23
UVSSA	-0.145872951	0.49
AC078852.2	-6.64385619	0.59
CRIPAK	-0.925214959	0.09
RP11-1398P2.1	-3.130324394	0.14
FAM53A	-4.700272473	0.39
SLBP	1.505419403	0.96
RP11-572O17.1	-6.64385619	0.26
TMEM129	2.008653747	0.45
TACC3	-1.469101876	0.84
FGFR3	-1.333100254	0.34
LETM1	1.956197615	0.85
WHSC1	1.436670698	0.14
SCARNA22	2.411253754	0.11
NELFA	-0.892664024	0.36
C4orf48	-6.64385619	0.57
NAT8L	-4.614237971	0.25
POLN	-2.458678711	0.07
RP11-317B7.2	-3.765932578	0.24
HAUS3	0.414995234	0.79
MXD4	1.244474401	0.61
ZFYVE28	-1.806721417	0.96
RNF4	1.268080456	0.02
FAM193A	1.826725515	0.89
TNIP2	0.662077435	0.32
SH3BP2	0.249993925	0.16
ADD1	3.286237038	0.86
MFSD10	-0.369670494	0.75
NOP14-AS1	-0.310034234	0.89
NOP14	2.101083536	0.08
GRK4	0.512260876	0.72
HTT	1.65160968	0.15
MSANTD1	-4.109589053	0.1
RGS12	-0.74091347	0.85
RP11-357G3.2	-2.116545156	0.41
DOK7	1.04302032	0.95
RP11-529E10.6	-1.216103297	0.58
LRPAP1	3.016960265	0.58
AC141928.1	-3.705249496	0.32
ADRA2C	-0.975973615	0.37
FAM86EP	-2.445580845	0.24
TMEM128	0.804649043	0.56
LYAR	1.899348487	0.57
ZBTB49	0.694267616	0.77
NSG1	-3.224624548	0.5
STX18	0.846258431	0.28
STX18-IT1	-3.043149275	0.56
STX18-AS1	-1.660806311	0.3
RP11-326I19.2	-6.64385619	0.67
MSX1	-1.291839355	0.27
CYTL1	-3.833346829	0.11
STK32B	-3.906991916	0.75
EVC2	-1.472093523	0.57
EVC	0.644389236	0.74
CRMP1	-2.68912204	0.12
C4orf50	-6.64385619	0.81
JAKMIP1	-6.64385619	0.92
WFS1	2.981419694	0.73
PPP2R2C	-1.406107597	0.37
MAN2B2	1.050535879	0.58
MRFAP1	4.453943321	0.48
RP11-539L10.3	1.36931268	0.37
AC093323.3	0.536439129	0.15
RP11-539L10.2	-2.259854614	0.17
RP11-539L10.4	-2.355114561	0.75
S100P	-4.129464013	0.68
RP11-539L10.5	-1.60875886	0.29
MRFAP1L1	3.633297316	0.22
BLOC1S4	-0.203936359	0.69
KIAA0232	4.187349527	0.75
TBC1D14	2.59973103	0.04
RN7SKP292	-1.356036185	0.55
CCDC96	-4.685793637	0.04
TADA2B	1.384574781	0.92
GRPEL1	2.165983036	0.72
RP11-367J11.3	-4.105313114	0.55
SORCS2	-1.753749691	0.35
AFAP1	0.387950089	0.86
ABLIM2	0.271304894	0.4
SH3TC1	-1.395112001	0.85
HTRA3	2.679175569	0.57
RP11-774O3.2	-2.914527113	0.63
RP11-774O3.1	-0.4847378	0.78
RP11-774O3.3	0.73354801	0.61
ACOX3	1.549843392	0.48
TRMT44	-0.32385747	0.33
RP11-689P11.2	-2.044149913	1
SLC2A9	-1.913654954	0.34
RP11-448G15.3	0.128177547	0.7
WDR1	3.340723906	0.92
ZNF518B	1.812364806	0.39
CLNK	-6.64385619	0.02
RNPS1P1	-2.821677439	0.66
HS3ST1	-2.306870034	0.67
RP11-281P23.1	-4.642982698	0.28
RP11-281P23.2	-4.646476289	0.94
RP11-74M11.2	-6.64385619	0.46
RP11-352E6.2	-2.415406843	0.28
RP11-22A3.2	-1.355775302	0.54
RP11-22A3.1	-0.778956638	0.49
HSP90AB2P	-0.234821288	0.7
RAB28	2.849749283	0.57
BOD1L1	2.581666033	0.61
AC006445.6	-6.64385619	0.06
AC007126.1	-1.030501869	0.37
LINC01085	-6.64385619	0.61
LINC00504	-6.64385619	0.36
CPEB2-AS1	-4.349204023	0.48
CPEB2	1.904002427	0.98
RP11-665G4.1	-3.708018454	0.85
C1QTNF7	-0.675810085	0.47
RP11-484O2.1	-2.198869048	0.75
CC2D2A	0.204469674	0.33
RP11-799M12.2	-2.139060199	0.82
FBXL5	4.042244656	0.01
FAM200B	0.936458064	0.55
BST1	-1.134741722	0.56
CD38	-1.06952802	0.16
FGFBP2	0.882951248	0.6
PROM1	-0.096631815	0.03
TAPT1	1.528505084	0.85
TAPT1-AS1	-1.162538232	0.1
RPS21P4	-6.64385619	0.31
LDB2	2.62445143	0.56
QDPR	1.932289367	0.51
LAP3	2.808951439	0.98
AC006160.5	-3.466816898	0.28
MED28	1.676468116	0.43
FAM184B	-6.64385619	0.78
DCAF16	2.405097552	0.43
NCAPG	-5.48937334	0.82
LCORL	-0.127316031	0.68
SLIT2	0.765314648	0.5
SLIT2-IT1	-2.246206251	0.43
PACRGL	0.487100509	0.13
KCNIP4	-5.346761464	0.13
KCNIP4-IT1	-5.954423654	1
ADGRA3	1.73833796	0.41
CDC42P6	-0.647296046	0.32
PPARGC1A	3.658986497	0.17
DHX15	2.92770655	0.97
MIR573	-0.690984216	0.88
RN7SL16P	-1.124762343	0.01
SOD3	1.551041615	0.82
CCDC149	0.024958362	0.45
LGI2	-0.952188098	0.17
SEPSECS	0.658431708	0.23
SEPSECS-AS1	0.049564344	0.29
RP11-660M5.1	-1.457159619	0.47
PI4K2B	-0.804822199	0.13
ZCCHC4	0.562870476	0.03
ANAPC4	1.02203668	0.73
SEL1L3	-1.363469873	0.09
SMIM20	2.109093675	0.25
RBPJ	2.308156284	0.28
TBC1D19	1.219818859	0.42
SNORD74	0.602496823	0.88
STIM2	0.195650956	0.02
RP11-293A21.1	-3.152848515	0.06
PCDH7	4.41900163	0.72
RP11-734I18.1	-6.64385619	0.68
ARAP2	-1.36340731	0.49
DTHD1	-4.239023641	0.97
NWD2	-5.857486573	0.55
C4orf19	-6.64385619	0.75
RP11-36B15.1	-2.083331706	0.89
RELL1	2.841617611	0.54
PGM2	1.715474761	0.69
AC021106.1	-6.64385619	0.79
RP11-177C12.1	-0.412461932	0.42
TBC1D1	3.043769564	0.5
PTTG2	-0.179292851	0.95
KLF3-AS1	-1.044910645	0.73
KLF3	2.319703313	0.2
TLR10	-6.64385619	0.31
TLR1	-1.437493317	0.35
TLR6	-2.644221957	0.21
FAM114A1	1.248403588	0.82
TMEM156	-4.130393423	0.87
KLHL5	1.29255802	0.62
RP11-360F5.3	-1.294050424	0.86
WDR19	0.41785549	0.37
RFC1	2.394720372	0.08
KLB	-5.649635667	0.41
RPL9	1.589330507	0.37
LIAS	1.583663869	0.2
RP11-472B18.1	-6.64385619	0.35
UGDH	0.871611535	0.97
UGDH-AS1	-1.890149843	0.43
SMIM14	1.125920518	0.56
RP11-539G18.3	-3.121768536	0.18
UBE2K	2.752599775	0.8
RN7SL558P	0.699799555	0.64
PDS5A	2.322851254	0.76
RP11-333E13.2	-0.047401802	0.41
N4BP2	1.245992526	0.16
RP11-395I6.3	0.210671192	0.4
RHOH	-6.64385619	1
RBM47	-3.296192758	0.11
NSUN7	-4.034013219	0.31
APBB2	1.325416508	0.17
UCHL1	0.294184486	0.6
LIMCH1	5.135605898	0.69
RPL12P20	2.628055331	0.67
TMEM33	2.174105947	0.79
DCAF4L1	-1.927603906	0.03
RP11-814H16.2	-2.928009621	0.62
SLC30A9	3.548554449	0.51
ATP1B1P1	0.259293092	0.57
BEND4	-5.888244091	0.27
SHISA3	0.47246834	0.14
ATP8A1	2.624760072	0.19
CCNL2P1	-0.28730704	0.05
NDUFB4P12	-1.646547997	0.1
RP11-663P9.1	-2.792122584	0.2
KCTD8	-6.64385619	0.4
YIPF7	-2.253806205	0.82
GUF1	2.451282252	0.48
GNPDA2	1.129003024	0.39
RP11-700J17.1	-0.047401802	0.79
RP11-700J17.2	-0.86845438	0.99
GABRA2	-6.64385619	0.87
RAC1P2	-0.654672901	0.87
GABRA4	2.864191184	0.67
GABRB1	0.905975582	0.93
RP11-731J8.2	0.474104323	0.23
COMMD8	1.926837309	0.86
ATP10D	1.472394347	0.29
CORIN	2.219553865	0.83
RP11-100N21.1	-0.523649388	0.83
RP11-121C2.3	-1.155886245	0.14
RP11-121C2.2	-1.010624832	0.04
NFXL1	0.172221293	0.94
NIPAL1	-4.634775783	0.54
CNGA1	-2.236643982	0.35
TXK	-1.631333	0.79
TEC	0.979088013	0.21
SLAIN2	3.366283854	0.6
SLC10A4	-3.169836831	0.99
FRYL	2.420799299	0.55
OCIAD1	3.648471646	0.96
OCIAD2	-0.586265117	0.92
RP11-241F15.1	-6.64385619	0.75
ANKRD20A17P	-2.38492516	0.9
RP11-241F15.3	-6.64385619	0.3
SNX18P25	-6.64385619	0.72
DCUN1D4	1.76744776	0.73
RP11-365H22.2	-0.728703307	0.4
LRRC66	-2.024740897	0.1
SGCB	4.131055664	0.63
SPATA18	-2.121581741	0.21
RP11-588F10.1	1.181529041	0.22
USP46	2.859281276	0.25
USP46-AS1	2.360015094	0.47
DANCR	2.623442513	0.03
SNORA26	2.892988496	0.81
ERVMER34-1	-0.019310462	0.39
RASL11B	0.355191217	0.77
SCFD2	1.54953756	0.67
RP11-752D24.2	-4.839336956	0.73
FIP1L1	1.498469971	0.14
LNX1	-0.61516175	0.86
RPL21P44	0.626585997	0.69
RP11-571I18.4	-1.26908086	0.71
CHIC2	1.229348795	0.28
PDGFRA	1.31603337	0.41
KIT	-2.139804134	0.12
KDR	2.532083859	0.85
SRD5A3	-0.588123876	0.24
SRD5A3-AS1	-5.524843422	0.91
TMEM165	2.030860216	0.37
Y_RNA	2.401050181	0.95
CLOCK	2.723906238	0.36
RN7SKP30	-2.391079018	0.4
EXOC1	2.378644629	0.4
RNU6-652P	-0.801213737	0.91
CEP135	-0.511848161	0.15
KIAA1211	-2.572923601	0.28
AASDH	1.154982057	0.27
RP11-646I6.5	-0.306918925	0.59
PPAT	-1.856074037	0.67
RP11-646I6.6	-0.865927388	0.83
RP11-646I6.3	-2.269624137	0.48
PAICS	1.189946174	0.97
SRP72	2.454711534	0.57
HOPX	-0.220554203	0.66
RP11-630A13.4	-1.608498742	0.39
RN7SL357P	-6.64385619	0.59
REST	3.029134839	0.87
NOA1	1.530951094	0.36
POLR2B	3.771828569	0.8
RNU6-998P	-0.719368637	0.09
IGFBP7	6.526673171	0.62
IGFBP7-AS1	-2.19728778	0.82
RP11-319E12.2	-2.607273555	0.86
ADGRL3	1.238918213	0.73
RPL17P19	0.901573622	0.67
ADGRL3-AS1	-2.863329201	0.35
RPL21P47	2.925836598	0.25
RP11-30P21.2	2.58306003	0.21
HMGN1P11	0.489386149	0.59
EXOC5P1	-3.294414967	0.55
RP11-12K22.1	2.017993821	0.05
TECRL	6.784758632	0.85
RNU6-191P	1.686719408	0.69
RP11-707A18.1	-6.64385619	0.09
EPHA5	-4.416884725	0.65
RP11-408P14.1	-6.64385619	1
RP11-584P21.2	-2.360313613	0.53
CENPC	1.81248908	0.5
STAP1	-6.64385619	0.46
RP11-17P16.1	-6.64385619	0.54
UBA6	1.081181388	0.56
UBA6-AS1	-0.698898537	0.81
SNORA62	-1.287850441	0.7
GCOM2	-6.64385619	0.15
YTHDC1	2.551263704	0.2
UGT2B4	2.243920429	0.38
UGT2A3P7	0.215092909	0.21
SULT1B1	-3.576600947	0.67
ENAM	0.687407827	0.49
JCHAIN	-3.086339284	0.08
UTP3	2.14857229	0.85
RUFY3	1.829347351	0.15
GRSF1	3.241419097	0.63
MOB1B	2.251185101	0.1
DCK	0.336474299	0.41
SLC4A4	1.890931661	0.91
ADAMTS3	-4.047532664	0.37
COX18	0.747781624	0.69
ANKRD17	3.987211959	0.24
RP11-692D12.1	-0.893061583	0.88
SNORA3	-6.64385619	0.83
RASSF6	-6.64385619	0.89
CXCL8	-6.64385619	0.54
CXCL6	-6.64385619	0.11
CXCL1	-2.740226886	0.29
PF4	-2.253048188	0.74
PPBP	-1.524786069	0.26
CXCL5	-4.888022756	0.6
CXCL3	-3.449000946	0.59
CXCL2	0.621480617	0.81
MTHFD2L	0.337420375	0.9
EREG	-4.585188357	0.81
AREG	0.049751783	0.17
BTC	-4.241935629	0.44
PARM1	4.620100764	0.83
RP11-44F21.3	-6.64385619	0.51
RP11-44F21.2	-6.64385619	0.39
RP11-44F21.5	-6.64385619	0.79
RCHY1	1.605383829	0.45
THAP6	1.434044659	0.72
CDKL2	-3.759682646	0.82
G3BP2	3.18025481	0.47
USO1	4.524183733	0.43
NAAA	0.109601856	0.33
SDAD1	2.527350065	0.41
