	fc	p
RHBDD1	1.592330029	0.23
AC097662.2	-2.99257411	0.44
MFF	2.550154851	0.01
DAW1	-6.64385619	0.93
SPHKAP	5.035913909	0.04
PID1	0.865083632	0.54
RN7SKP283	-2.098764577	0.1
FBXO36	-2.157708684	0.13
FBXO36-IT1	-3.137125803	0.07
SLC16A14	0.014748552	0.02
AC009950.2	-5.256608242	0.76
SP110	-1.241052829	0.81
SP140	-4.231495894	0.6
SP140L	-0.48442312	0.22
RN7SL834P	1.083771124	0.59
HMGB1P3	-1.000803977	0.54
ITM2C	2.328930481	0.52
ARMC9	-1.780767999	0.71
AC017104.6	-3.546940371	0.82
ZBTB8OSP2	-6.64385619	0.04
SNORA75	2.626552608	0.13
SNORD20	-6.64385619	0.67
RP11-562I5.1	-6.64385619	0.2
RP11-562I5.2	-1.769763925	0.34
LINC00471	-2.725599135	0.24
PTMA	2.212861727	0.85
RP11-690I21.2	-0.709216587	0.04
DIS3L2	0.473377689	0.84
AC068134.10	-6.64385619	0.03
ECEL1	-6.64385619	0.31
TIGD1	-0.718828189	0.97
EFHD1	0.946769388	0.84
RN7SL359P	-2.187760069	0.3
GIGYF2	2.630771865	0.12
RNU6-107P	0.835536105	0.63
C2ORF82	-4.084470636	0.98
SCARNA5	6.561407519	0.69
SCARNA6	4.854226712	0.09
USP40	1.429637811	0.0
AC010148.1	-6.64385619	0.64
AGAP1	0.447080672	0.59
AGAP1-IT1	-1.420990156	1.0
TMSB10P1	3.67897935	0.46
RNU1-31P	-0.523649388	0.73
IQCA1	-4.310697287	0.42
ACKR3	3.028496554	0.85
AC105760.3	-2.537340251	0.16
AC105760.2	-1.768573899	0.0
COL6A3	3.212440934	0.01
MLPH	-1.047694334	0.08
RAB17	-2.239041088	0.09
LRRFIP1	3.259482534	0.44
RBM44	-2.003583537	0.51
SNORD39	3.072258872	0.75
SCLY	-2.396097691	0.31
ESPNL	-6.64385619	0.84
KLHL30	1.156000569	0.29
ERFE	-5.216747361	0.77
ILKAP	1.379850199	0.38
AC016757.3	-6.64385619	0.68
HES6	-2.017702525	0.17
PER2	1.598365235	0.44
RP11-40B20.1	-1.171188865	0.2
AC017028.1	0.204996263	0.01
MIR2467	0.584693682	0.5
AC062017.1	-2.273362333	0.27
MIR4786	-0.388032551	0.88
COPS9	2.255187705	0.1
AC124861.1	-2.730842803	0.99
GPC1	3.246641604	0.21
ANKMY1	-1.049537907	0.92
DUSP28	0.179398225	0.73
RNPEPL1	1.328423165	0.51
CAPN10-AS1	-0.935568806	0.48
AC104809.4	-6.64385619	0.14
SNED1	-0.282226852	0.39
PASK	-3.163217707	0.56
PPP1R7	2.094417721	0.76
AC110299.5	-3.336606471	0.04
STK25	1.869306392	0.22
BOK	-0.791642249	0.08
THAP4	2.63730094	0.59
LINC01237	-4.390320739	0.67
AC093642.3	-3.767680567	0.7
AC093642.1	-4.05347575	0.97
AC093642.6	0.254610202	0.56
RP11-341N2.1	-6.64385619	0.51
AC093642.5	-0.728213561	0.52
LINC01266	-4.199787255	0.07
RPL23AP38	-6.64385619	0.53
CNTN4	-2.511374917	0.54
RP11-97C16.1	-0.018784951	0.86
AC026188.1	-6.64385619	0.78
LRRN1	-3.908373	0.85
PNPT1P1	-2.377560939	0.54
SETMAR	1.063828564	0.86
MRPS10P2	-1.043740022	0.24
ITPR1-AS1	-1.467553844	0.82
EGOT	-4.287387498	0.04
AC018816.1	-0.527683223	0.1
AC018816.3	-0.187525557	0.45
BHLHE40-AS1	-3.046563849	0.13
ARL8B	3.721033879	0.97
AC026202.3	-2.399239067	0.92
AC069277.2	-5.060904563	0.59
LMCD1-AS1	-2.828336071	0.58
AC023481.1	-1.336683685	0.58
SSUH2	-1.699593074	0.77
SRGAP3-AS4	0.176647065	0.75
RP11-380O24.1	-3.061732261	0.87
THUMPD3-AS1	0.71768233	0.82
THUMPD3	2.253072727	0.14
SETD5	2.854697492	0.87
OGG1	-0.429882477	0.4
CAMK1	0.162306763	0.17
ARPC4-TTLL3	-4.973899702	0.63
RPUSD3	0.637444357	0.53
JAGN1	0.99182804	0.56
CRELD1	2.611276519	0.03
RP11-1020A11.1	-1.567863722	0.66
PRRT3	-2.486108678	0.42
PRRT3-AS1	-1.310957463	0.36
RP11-1020A11.2	-2.216498594	0.15
EMC3	2.292447551	0.75
EMC3-AS1	-2.074431552	0.34
CYCSP10	-0.267311554	0.97
AC022007.5	-2.317948232	0.03
CIDECP	-0.377218768	0.58
LINC00852	-0.532240913	0.01
GHRL	-6.64385619	0.52
GHRLOS	0.469285668	0.88
VGLL4	1.526788913	0.9
TAMM41	0.109968244	0.07
RN7SL147P	-6.64385619	0.93
TIMP4	0.662052611	0.36
AC091492.2	0.835536105	0.51
RNU6-377P	0.835536105	0.87
MKRN2OS	-4.539947347	0.28
MKRN2	3.33237498	0.02
TMEM40	-3.163217707	0.64
CAND2	3.426059426	0.91
RP11-767C1.2	-6.64385619	0.92
IQSEC1	2.452006915	0.74
HDAC11-AS1	-6.64385619	0.99
FGD5P1	-4.601623145	0.68
TPRXL	-6.64385619	0.85
TMEM43	3.30612748	0.01
RP11-434D12.1	-4.179350787	0.57
AC093495.4	-3.554097993	0.37
XPC	1.598337356	0.96
LINC01267	-2.569224156	0.0
RNU6-905P	1.76264523	0.97
RHBDF1P1	-4.605286097	0.49
CCDC174	1.353328407	0.26
C3ORF20	-5.196134896	0.56
FGD5	1.376854168	0.79
FGD5-AS1	3.229841918	0.57
RBSN	1.800462545	0.26
COL6A4P1	-6.64385619	0.62
SH3BP5-AS1	1.548499838	0.57
SH3BP5	0.70907789	0.56
METTL6	-0.437201965	0.42
EAF1-AS1	-3.647205521	0.95
COLQ	1.571672997	0.89
RN7SL110P	-1.196321817	0.76
BTD	0.428336295	0.89
RN7SL4P	5.895438295	0.53
IMPDH1P8	-2.015208449	0.62
OXNAD1	1.511457377	0.29
RFTN1	2.340013043	0.76
RP11-415F23.2	0.822410912	0.45
RP11-415F23.3	-0.398166042	0.35
RP11-415F23.4	-1.158448498	0.74
PLCL2	3.505789833	0.44
TBC1D5	1.807674956	0.21
RP11-320G10.1	-6.64385619	0.93
RP11-158G18.1	0.028242001	0.34
SATB1-AS1	-6.111039852	0.11
RAD23BP1	-3.206316703	0.72
EFHB	-6.64385619	0.12
HSPA8P18	-4.597944865	0.82
SGO1	-5.278659203	0.52
SGO1-AS1	-5.704117239	0.92
RP11-669C19.1	-4.792923654	0.42
ZNF385D	0.065563705	0.35
HMGB1P5	-6.64385619	0.55
RPL24P7	-2.804028236	0.26
THRB-IT1	1.372858763	0.33
THRB-AS1	-4.704877378	0.23
OXSM	0.946567015	0.45
HMGB3P12	-3.076872846	0.36
LRRC3B	-5.135679768	0.11
NEK10	0.351186717	0.25
MINOS1P3	-1.702701726	0.37
RNU6-342P	-6.64385619	0.98
AC099535.4	-2.53429104	0.96
AC098614.2	-2.665336211	0.07
RP11-222K16.1	-2.830409649	0.14
EOMES	-4.070773909	0.75
CMC1	-0.174386924	0.11
AZI2	1.521232679	0.97
ZCWPW2	-1.30054663	0.58
RP11-9J18.1	-0.330781074	0.11
AC093142.2	-2.451063303	0.04
RBMS3	1.193215717	0.5
RBMS3-AS3	-2.614175856	0.51
RPS12P5	0.199589241	0.77
RBMS3-AS2	-3.496653824	0.14
AC116035.1	-6.64385619	0.12
TGFBR2	4.636152506	0.63
RP11-1024P17.1	-0.508882268	0.17
GADL1	-3.886460982	0.38
STT3B	4.323146597	0.74
RPSAP11	-3.671472694	0.28
RP11-384L8.1	-3.24171928	0.18
CMTM8	-0.932593909	0.88
KRT18P15	-2.036997448	0.19
CMTM7	-1.021684934	0.87
SUGT1P2	-0.215105085	0.1
TMPPE	0.643115782	0.27
SUSD5	-0.988659303	0.82
FBXL2	-0.917093015	0.37
UBP1	1.899717508	0.57
RP11-10C24.2	-1.026950217	0.01
RP11-10C24.3	0.378282622	0.54
RP11-10C24.1	-0.795904362	0.97
STAC	-2.90484959	0.12
RN7SKP227	5.520427396	0.82
DCLK3	-4.229815227	0.54
RP11-640L9.1	-4.187283097	0.26
RP11-640L9.2	-6.64385619	0.1
TRANK1	0.22054852	0.2
AC011816.1	-2.114019654	0.84
PRADC1P1	-3.00090863	0.36
EPM2AIP1	3.808705922	0.05
MLH1	3.502760442	0.22
LRRFIP2	3.664981216	0.25
UBE2D3P2	-1.830523325	0.66
UBE2FP1	0.292513336	0.25
RP11-285J16.1	0.332215985	0.6
AC097359.2	-1.885656142	0.92
RP11-259K5.1	-2.647579175	0.99
RP11-259K5.2	0.064118802	0.07
GOLGA4	4.932328717	0.97
TCEA1P2	0.424244209	0.22
RNA5SP129	0.046288168	0.59
C3ORF35	-2.025156819	0.59
ITGA9-AS1	-2.528784158	0.21
RPL21P135	-0.112003203	0.14
NDUFAF4P3	-6.64385619	0.01
CTDSPL	2.135014513	0.53
VILL	-2.348646833	0.6
DLEC1	-4.226585926	0.05
OXSR1	2.446903489	0.33
SLC22A14	-6.64385619	0.18
ACVR2B-AS1	-2.945055785	0.74
EXOG	2.203987926	0.91
WDR48	2.053630854	0.86
TTC21A	-1.781885091	0.3
CSRNP1	1.573374175	0.71
XIRP1	6.101906934	0.78
DSTNP4	-6.64385619	0.21
EEF1A1P24	-2.822650698	0.24
SLC25A38	1.755270357	0.27
EIF1B-AS1	0.471993729	0.37
RN7SL411P	-6.64385619	0.68
EIF1B	4.81381956	0.1
ENTPD3-AS1	-0.889559155	0.01
PGAM1P3	-6.64385619	0.65
ULK4	-0.700725679	0.58
TRAK1	4.205323785	0.04
RNU4-78P	0.532582506	0.69
SS18L2	0.486709778	0.04
NKTR	3.085519461	0.43
RP4-613B23.1	-0.101136435	0.6
ZBTB47	3.298593083	1.0
KLHL40	-2.945055785	0.56
CCDC13	-2.926936402	0.48
HHATL	4.924817293	0.7
HHATL-AS1	-6.64385619	0.96
RP11-70C1.3	-6.64385619	0.1
RP11-141M3.6	-3.808710525	0.61
RP11-136C24.3	-3.591529427	0.75
KRBOX1	-3.151955566	1.0
FAM198A	-2.216450615	0.69
SNRK	2.85847077	0.54
RN7SL517P	1.128272836	0.69
RP11-188P20.3	-3.416106539	0.65
SNRK-AS1	-3.466816898	0.38
RP11-353H3.1	-2.975365096	0.69
TCAIM	1.767736515	0.67
LINC00694	-1.68656287	0.52
ZNF852	-0.782877377	0.87
RP11-944L7.4	-0.890993033	0.04
MPRIPP1	-1.54617386	0.28
ZNF197-AS1	-0.0314478	0.83
ZNF35	1.720348968	0.7
RP11-348P10.2	0.517094055	0.49
ZNF502	0.918571751	0.37
ZNF501	0.468139318	0.72
KIAA1143	1.587035016	0.42
TMEM42	0.000964766	0.41
ZDHHC3	1.883297487	0.25
CDCP1	-5.697340947	0.24
RPS24P8	-2.643100914	0.98
TMEM158	-6.64385619	0.64
LIMD1-AS1	-2.124928838	0.22
RN7SL145P	0.041453307	0.53
RP11-697K23.3	-6.64385619	0.22
FYCO1	4.300670799	0.8
RP11-24F11.5	-1.858372894	0.57
LRRC2	4.524740046	0.71
TDGF1	-5.048720717	0.87
TMIE	-2.262115593	0.42
PRSS50	-2.369527423	0.35
PRSS46	-0.9956302	0.68
PRSS45	0.418601201	0.69
PRSS44	1.343160591	0.05
PRSS42	4.548603304	0.21
RP11-427P5.3	-6.64385619	0.89
CCDC12	0.674815451	0.67
KIF9-AS1	-1.351594407	0.88
KLHL18	0.684521212	0.26
RP11-447D11.3	-0.655341598	0.65
RP11-708J19.1	-1.362671979	0.37
CSPG5	-3.937305004	0.73
RP11-717D12.1	-1.709559834	0.93
DHX30	1.900764023	0.89
MAP4	6.510625616	0.89
VPS26BP1	0.611957084	0.88
RN7SL664P	-2.266625881	0.09
RP11-1029M24.1	-3.055300629	0.83
FCF1P2	1.376961342	0.85
NME6	0.554291953	0.05
PLXNB1	0.940546018	0.4
CCDC51	0.733173562	0.11
TMA7	1.624008858	0.21
RP11-24C3.2	-3.890979674	0.0
SHISA5	1.318299084	0.56
COL7A1	0.195206342	0.08
CELSR3	-4.226445282	0.39
PRKAR2A-AS1	-2.478479905	0.02
ARIH2OS	-2.079877631	0.64
RP13-131K19.2	-2.050149043	0.7
RP13-131K19.7	-0.960636057	0.92
P4HTM	0.868758186	0.92
WDR6	2.921143123	0.24
DALRD3	-0.452078138	0.12
QRICH1	2.701610941	0.9
RP11-694I15.7	-2.492592243	0.93
CCDC71	1.231103253	0.86
KLHDC8B	3.444364825	0.36
CCDC36	0.572395737	0.03
RP11-3B7.1	-0.523649388	0.72
C3ORF62	-0.568355597	0.05
GPX1	2.517482936	0.44
RHOA-IT1	-0.493707887	0.98
TCTA	1.645616016	0.15
RP11-949J7.8	-3.477602153	0.5
BSN-AS2	-2.989734746	0.65
BSN	-2.196015739	0.95
FAM212A	-0.501937358	0.02
RBM6	3.08392641	0.98
SEMA3F	0.214330621	0.95
XXCOS-LUCA16.1	0.215092909	0.19
U73166.2	-1.404503391	0.06
SEMA3B-AS1	0.980772732	0.82
SEMA3B	0.431771536	0.92
LSMEM2	2.55229802	0.82
IFRD2	1.393330198	0.72
NAT6	0.003880119	0.98
TUSC2	1.30303934	0.0
RASSF1	0.616823537	0.19
RASSF1-AS1	-6.64385619	0.46
ZMYND10	-3.832421424	0.49
C3ORF18	2.183472656	0.64
HEMK1	-1.071278268	0.48
MAPKAPK3	5.15695506	0.51
RP11-804H8.6	-1.355695021	0.01
MIR4787	-0.457478227	0.06
RBM15B	1.352650225	0.95
DCAF1	1.348814446	0.74
RAD54L2	1.303978446	0.39
RN7SL504P	-6.64385619	0.44
PARP3	1.106348061	0.1
RP11-155D18.13	-2.424745789	0.44
GPR62	-6.64385619	0.37
ABHD14A	0.437968258	0.93
ACY1	-3.349651001	0.13
POC1A	-3.972527914	0.65
RP11-330H6.6	-3.827782504	0.25
TWF2	2.183213876	0.14
RP5-1157M23.2	-6.64385619	0.66
PPM1M	-0.116606364	0.61
WDR82	3.060843573	0.58
MIRLET7G	-0.457478227	0.64
DNAH1	0.093402324	0.96
RP11-168J18.6	-1.97109351	0.28
PHF7	0.417936181	0.77
SEMA3G	1.617403308	0.26
NISCH	2.009854409	0.77
NT5DC2	0.752637416	0.2
SMIM4	1.989968947	0.18
GLT8D1	1.606331774	0.38
NEK4	1.344845972	0.25
RP5-966M1.6	-3.004064589	0.01
MUSTN1	-3.701083062	0.81
TMEM110-MUSTN1	-4.366340051	0.18
TMEM110	-2.874578906	0.1
RP11-894J14.2	-0.614367479	0.95
SFMBT1	1.477329642	0.67
RP11-894J14.5	-2.764915065	0.76
RP11-5O17.1	-6.64385619	0.29
RP11-884K10.7	0.758537787	0.01
SELENOK	3.383018404	0.97
WNT5A	-1.529165007	0.92
ERC2	-2.558826642	0.14
ERC2-IT1	-4.728750685	0.61
CCDC66	1.404244208	0.54
FAM208A	2.436823554	0.76
HESX1	-1.736649312	0.66
DNAH12	-4.933482816	0.62
ARF4-AS1	-0.956495303	0.78
DENND6A-AS1	-0.979215161	0.39
SLMAP	4.325540958	0.25
PPIAP16	-0.984063318	0.89
FLNB-AS1	-3.01312658	0.82
DNASE1L3	-2.058962095	0.08
RP11-80H18.3	-6.64385619	0.51
PXK	1.295929236	0.89
RP11-802O23.3	-1.587966398	0.29
RP11-359I18.5	-6.64385619	0.42
FAM107A	3.35899577	0.35
C3ORF67	-5.931820403	0.27
FHIT	-0.138416268	0.94
RP11-641C17.2	-0.690984216	0.93
RP11-641C17.3	-0.462309646	0.21
RP11-641C17.1	-0.206453904	0.94
PTPRG	2.844400539	0.04
RPL10AP6	-3.285793051	0.87
PTPRG-AS1	-6.64385619	0.73
C3ORF14	-2.645545555	0.84
CADPS	0.332140771	0.2
RP11-1036F1.1	-0.509730307	0.01
RN7SL863P	-6.64385619	0.25
SYNPR	-6.64385619	0.1
AC136289.1	-3.700387134	0.86
PSMD6-AS2	0.963992414	0.7
RP11-245J9.5	-0.98928036	0.63
RP11-245J9.4	-1.817957948	0.81
RP11-245J9.6	-2.695825891	0.88
PRICKLE2-AS1	-5.697127557	0.42
PRICKLE2	1.23082646	0.47
ADAMTS9-AS1	-4.793974451	0.67
ADAMTS9-AS2	-0.121324288	0.46
MAGI1	2.692295396	0.57
RP11-88H12.2	0.114498669	0.08
MAGI1-IT1	0.918604636	0.34
RP11-320P11.1	0.495545154	0.25
RN7SL482P	-0.695755198	0.3
LRIG1	3.949887404	0.36
SUCLG2-AS1	-0.501312047	0.18
FAM19A1	-5.031709525	0.61
COPS8P2	-0.190941717	0.26
PSMC1P1	-2.37460353	0.46
EOGT	3.659069596	0.79
CTD-2013N24.2	-1.59020945	0.7
LMOD3	5.335506695	0.97
FRMD4B	1.069707448	0.34
RBM43P1	-2.494608826	0.72
RP11-62G11.1	-2.033241403	0.22
MITF	3.677289168	0.16
RP11-963H1.1	-2.971055845	0.57
FOXP1	1.914059427	0.7
RP11-298C2.1	0.117678612	0.32
FOXP1-IT1	0.327136272	0.77
RP11-154H23.3	-1.317244311	0.04
LINC00877	-5.482385845	0.78
RP11-624D20.1	-2.843394724	0.94
GXYLT2	2.306245729	0.16
FTH1P23	-0.581679169	0.49
EBLN2	0.702252627	0.51
PDZRN3	2.952059952	0.35
RNU7-119P	2.262549644	0.54
PDZRN3-AS1	-0.703473452	0.87
CTD-2006M22.2	0.885929516	0.96
CNTN3	-0.31972484	0.42
NIPA2P2	-3.927748286	0.47
FAM86DP	-0.838839621	0.76
RP11-803B1.8	-2.539409586	0.94
RPL23AP49	-1.333681987	0.42
AGGF1P3	-6.64385619	0.78
LINC00960	-4.382813393	0.76
RP11-550F7.1	-2.465634934	0.35
ROBO1	0.931600054	0.66
RN7SL751P	-0.627432031	0.57
RP11-47P18.2	-6.64385619	0.76
SETP6	0.100591131	0.21
CYP51A1P1	-2.942231017	0.14
THAP12P2	-4.771465255	1.0
VGLL3	-1.395377198	0.65
LINC00506	-4.103804339	0.66
CGGBP1	2.949725004	0.66
ZNF654	1.756875129	0.87
CBX5P1	-3.088694435	0.01
C3ORF38	1.709855285	0.12
ABCF2P1	-6.64385619	0.23
PROS1	4.654448441	0.4
ARL13B	0.902345584	0.96
STX19	-3.130324394	0.18
DHFR2	-0.188291088	0.49
NSUN3	0.248249251	0.52
RBBP4P2	-2.706539778	0.14
ARMC10P1	-2.726124482	0.63
MTHFD2P1	-6.64385619	0.58
HNRNPKP4	-0.414992276	0.63
MTRNR2L12	4.655452379	0.06
RP11-389G6.3	-4.643251937	0.23
CRYBG3	3.769787122	0.16
MINA	0.888757191	0.98
CLDND1	2.423447217	0.06
RPL38P4	-1.776290344	0.61
WWP1P1	-4.22221662	0.84
ST3GAL6-AS1	-0.326855663	0.98
PDLIM1P4	0.704246635	0.34
DCBLD2	3.255782018	0.31
RNU6-26P	1.76264523	0.36
COL8A1	2.548993911	0.96
RP11-383I23.2	-2.702265093	0.43
CMSS1	-0.239897339	0.77
FILIP1L	4.336740472	0.44
TBC1D23	2.333909783	0.44
TOMM70	3.756707264	0.52
LNP1	0.434395648	0.73
TMEM45A	-3.315807222	0.57
ADGRG7	-6.64385619	0.66
ABI3BP	1.50048711	0.95
RP11-301G23.1	-4.053225324	0.03
IMPG2	-2.83378912	0.38
SENP7	2.095496132	0.4
RP11-144C15.2	-0.20355834	0.35
PCNP	3.792683576	0.66
RP11-234A1.1	-6.64385619	0.92
ZBTB11	1.68501178	0.57
ZBTB11-AS1	-0.168413979	0.73
PDCL3P4	-3.414317796	0.04
NXPE3	2.164061984	0.56
NFKBIZ	1.002453072	0.14
ZPLD1	-6.64385619	0.41
LINC00882	-0.433487567	0.53
MTND4P16	-1.147654914	0.52
MTND3P6	-0.470125401	0.95
MTCO3P35	-3.518670752	0.92
MTATP6P22	-2.239328447	0.79
RP11-561O4.1	-0.853223112	0.19
DUBR	1.121708491	0.99
RP11-446H18.5	-1.819009561	0.78
RP11-446H18.1	-3.348028322	0.09
RP11-446H18.6	-0.537050603	0.05
BBX	2.59571659	0.36
RP11-861A13.3	-1.00342455	0.92
MYH15	-3.63352604	0.89
RP11-381E24.1	-2.959780808	0.13
KIAA1524	-1.212108109	0.26
TRAT1	-4.884011289	0.93
RP11-457K10.1	-6.64385619	0.39
RP11-553A10.1	-6.64385619	0.5
PVRL3-AS1	-4.434825703	0.59
NECTIN3	0.549625904	0.44
PLCXD2	-1.502744673	0.79
PHLDB2	4.718243211	0.67
TAGLN3	-4.516647275	0.45
C3ORF52	1.342086194	0.09
GCSAM	-5.26819761	0.82
RP11-757F18.5	1.426923945	0.8
RP11-757F18.3	-6.64385619	0.62
BTLA	-6.64385619	0.21
RP11-147G7.3	-2.985646216	0.1
SLC35A5	1.298160982	0.25
CCDC80	3.317068563	0.53
RP11-180K7.1	-6.64385619	0.05
GTPBP8	1.322830032	0.81
NEPRO	1.435253843	0.59
RP11-572M11.4	-2.637706123	0.34
CFAP44	-2.442999411	0.33
SPICE1	0.620254624	0.52
SIDT1	-2.78846211	0.25
RN7SL767P	1.416176276	0.0
USF3	2.108993455	0.79
NAA50	2.534561908	0.6
RP11-271C24.3	1.413358322	0.88
GRAMD1C	-2.604502154	1.0
RP11-435F17.3	-2.519553267	0.63
VPS26AP1	-6.64385619	0.92
ZDHHC23	-2.019351875	0.88
CCDC191	-1.333416816	0.97
QTRT2	-0.787550149	0.3
TIGIT	-6.64385619	0.13
ZBTB20	3.0055148	0.9
AC069063.1	1.874437675	0.93
RP11-190P13.2	-6.64385619	0.56
LSAMP	-2.432697372	0.94
BZW1P2	-0.750626063	0.74
IGSF11	-1.141276254	0.06
UPK1B	-4.771002547	0.71
RPS26P21	2.060373786	0.52
TMEM39A	1.177178687	0.88
ADPRH	1.107042016	0.35
RPL10P7	-1.021308076	0.42
POPDC2	6.359021184	0.66
COX17	2.57397522	0.32
MAATS1	-2.695825891	0.49
NR1I2	-5.558951402	0.69
RP11-18H7.1	-1.444214516	0.99
GPR156	-3.841538053	0.46
LRRC58	1.775059508	0.81
RP11-174O3.3	-6.64385619	0.87
RP11-174O3.4	-6.64385619	0.16
RP11-359H3.1	0.328639149	0.04
RABL3	1.818220361	0.65
NAP1L1P3	-2.764915065	0.17
STXBP5L	-6.64385619	0.48
RPL7AP11	-6.64385619	0.96
HCLS1	-0.135544973	0.56
RN7SL172P	-2.257589729	0.9
GOLGB1	4.205810279	0.09
CCDC58	1.25961643	0.06
FAM162A	3.25128562	0.38
WDR5B	-0.024554857	0.87
RP11-299J3.8	-0.750626063	0.05
PARP15	-2.713822733	0.49
EIF4BP8	-3.716284082	0.77
HSPBAP1	-0.266000656	0.84
DIRC2	2.193335086	0.12
RP11-67L2.2	0.674974621	0.52
RP11-797D24.3	-0.845544494	0.51
RP11-797D24.4	-1.080337211	0.57
HACD2	1.642451891	0.46
MYLK-AS1	-0.541167005	0.71
MYLK	-0.640584996	0.56
CCDC14	1.206374923	0.36
MIR5002	0.326529792	0.81
MIR6083	0.199589241	0.72
RNU6-143P	0.968089121	0.89
RP11-71H17.8	-0.49669516	0.2
ENO1P3	-1.140412007	0.05
MUC13	-4.490496939	0.92
HEG1	4.898855508	0.97
SLC12A8	-3.546142299	0.79
ZNF148	2.711254067	0.73
RP11-775J23.2	0.904293964	0.61
SNX4	2.456492367	0.71
OSBPL11	1.706419355	0.23
SNRPCP11	-6.64385619	0.39
RP11-379B18.5	-2.040866205	0.67
FAM86JP	-3.610797544	0.15
ALG1L	-2.153859849	0.73
ROPN1B	-2.193212915	0.55
SLC41A3	0.284677628	0.22
RP11-124N2.1	-2.34313806	0.97
ALDH1L1-AS2	0.623947782	0.71
RP11-71E19.1	-0.119201526	0.67
RP11-203H19.2	-2.223914195	0.65
ZXDC	1.471805375	0.69
TXNRD3	0.37149792	0.01
CHCHD6	-0.251918061	0.43
RP11-153F10.2	-0.312630951	0.56
TPRA1	0.811398533	0.81
PODXL2	-0.405067408	0.49
ABTB1	0.083899115	0.07
KBTBD12	3.26806348	0.44
GATA2-AS1	-0.757788731	0.17
TMED10P2	-0.514385371	0.89
LINC01565	-6.64385619	0.11
POU5F1P6	-6.64385619	0.22
RN7SL698P	-2.253048188	0.1
KIAA1257	-3.964221613	0.53
RP11-723O4.6	-4.935367194	0.21
EFCC1	0.648003551	0.61
RP11-434H6.7	-0.45323705	0.68
CNBP	6.260916052	0.44
HMCES	2.39407701	0.28
H1FX	1.591043421	0.75
H1FX-AS1	-1.394145492	0.59
RPL32P3	0.265684612	0.29
SNORA7B	2.498944831	0.93
EFCAB12	-3.649021237	1.0
RN7SL752P	0.08557345	0.0
TMCC1	1.780744029	0.43
RP11-332M2.1	0.848093259	0.7
TMCC1-AS1	-2.971918901	0.69
ALG1L2	-2.547955826	0.49
FAM86HP	-3.282793879	0.23
RP11-77P16.4	-1.810573537	0.78
COL6A4P2	-4.121373217	0.09
COL6A5	-5.113694961	0.52
COL6A6	-1.56072815	0.81
ASTE1	-0.005924308	0.23
NEK11	-1.266716538	0.86
RP11-933H2.4	-0.246088456	0.56
NUDT16P1	0.748578457	0.49
RP11-517B11.7	-0.96073789	0.91
SNORA58	0.412700793	0.47
CPNE4	-1.924325428	0.2
RP11-64K7.1	-0.829626372	0.94
NPHP3-ACAD11	-5.329893928	0.18
ACKR4	-1.727475184	0.27
NPHP3	-0.128755191	0.15
TMEM108	-3.181048034	0.53
CDV3	4.466973584	0.58
TFP1	-3.504959725	0.56
TF	-3.514798427	0.67
RP11-404G16.2	-6.64385619	0.16
C3ORF36	-2.692593976	0.61
RP11-375I20.6	-3.795701104	0.21
RPL39P5	-2.792122584	0.46
KY	0.000887321	0.43
PPP2R3A	3.783984656	0.16
RP11-305O4.2	-0.082223158	0.47
RNU6-1284P	-6.64385619	0.77
RNU6-789P	-6.64385619	0.24
RP11-102M11.1	1.110276937	0.3
SLC35G2	-1.033558738	0.12
RP11-731C17.2	-0.869295691	0.41
NCK1-AS1	-0.95273823	0.79
DZIP1L	-0.160082772	0.37
KRT8P36	-3.414317796	0.12
DBR1	0.620525392	0.51
MRAS	3.866775954	0.33
RP11-80P20.3	-2.828595456	0.24
FAIM	-0.039359651	0.63
RP11-79L9.2	-2.946641885	0.96
EEF1A1P25	-6.64385619	0.85
RP11-319G6.1	-0.309609825	0.88
RP11-319G6.3	-6.64385619	0.04
ACTG1P1	-1.192580963	0.84
RN7SKP124	-2.419417491	0.49
RN7SL724P	-1.135215136	0.77
CLSTN2	-0.704859677	0.99
SLC25A36	3.563218591	0.1
RP11-231L11.3	0.308205382	0.98
PXYLP1	0.327871748	0.67
RP11-764I5.1	-0.563474572	0.83
ZBTB38	3.542855853	0.01
RASA2-IT1	-1.709559834	0.95
RNF7	2.086433811	0.07
RP11-271K21.12	-3.726530104	0.5
RP11-343B5.1	-0.428135231	0.15
GK5	0.6121308	0.69
RNU1-100P	0.146623978	0.34
RP11-383G6.3	-0.641737751	0.51
PLS1	-1.460786288	0.82
RNU7-47P	-0.024554857	0.83
RP11-372E1.1	-1.039282609	0.15
PAQR9	0.528797277	0.49
PAQR9-AS1	-2.642795003	0.92
RP11-91G21.1	0.118315458	0.77
SLC9A9	-0.257233159	0.82
RP13-635I23.3	-2.767967348	0.91
GAPDHP47	-6.64385619	0.45
ST13P15	-2.526943275	0.03
C3ORF58	1.547881047	0.99
RP11-274H2.5	-1.613573855	0.38
RP11-274H2.3	-0.723376856	0.55
PLSCR4	1.206654568	0.86
PLSCR2	-6.64385619	0.77
RP11-329N15.3	-0.848251064	0.63
PLSCR1	1.801341819	0.98
RP11-71N10.1	-6.64385619	0.57
UBQLN4P1	-3.698993968	0.19
GYG1	3.577226499	0.15
HPS3	0.258492479	0.65
TM4SF18	0.046925566	0.27
TM4SF1	2.790446104	0.13
WWTR1-IT1	0.691829615	0.2
WWTR1-AS1	-6.64385619	0.82
